product_id,product_name,builder_name,first_seen,last_seen,occurrence_count,intelligence_type,evidence_status,target_user,user_problem,what_it_is,usage_flow,ai_role,implementation_idea,learning_points,hands_on_exercise,limitations_or_uncertainties,verticals,region,score,tags,title,url
product-38991af7b447b133,DeepSeek V4 Flash,Simon Willison,2026-08-01,2026-08-01,1,model_capability,first_party,未公开,未公开,DeepSeek 发布 V4 Flash 0731 模型，代理能力增强且性价比高，值得关注。,,未公开,未公开,,未公开,未公开,,china,9.0,DeepSeek | 模型发布 | Agent,deepseek-ai/DeepSeek-V4-Flash-0731,https://simonwillison.net/2026/Jul/31/deepseek-v4-flash-0731/#atom-everything
product-20b1ece408ee46db,MCP,Simon Willison,2026-08-01,2026-08-01,1,builder_insight,first_party,未公开,未公开,MCP 2.0 规范发布，Simon Willison 分享了新特性并开发了相关工具，对 AI 代理开发有重要参考价值。,,未公开,未公开,,未公开,未公开,,global,8.5,MCP | 协议 | Agent,Stateless MCP has recaptured my interest (and inspired mcp-explorer and datasette-mcp),https://simonwillison.net/2026/Jul/31/stateless-mcp/#atom-everything
product-6b188e3325e31514,smevals,Simon Willison,2026-08-01,2026-08-01,1,product_case,first_party,需要对比多个 LLM 表现的产品开发者、AI 研究员、有 coding agent 辅助编程的工程师,想回答「这个模型做某任务到底好不好」时，缺乏标准化、可复现、能横向对比的轻量评估流程；现有工具要么太重，要么和具体业务场景脱节,一个用 YAML 配置 + 脚本就能跑起来的命令行工具，专门给不同模型配置做「出题-考试-阅卷-出报告」一条龙评估。,用 uvx smevals docs 让 coding agent（或自己）快速了解工具，生成评估目录结构 | 在目录里写 YAML 配置任务、模型配置(config)、评分规则(checks/grader) | 运行 uvx smevals run 让指定模型做题，再用 uvx smevals grade 自动阅卷打分 | 用 uvx smevals serve 或 build 生成本地/静态网页报告，看排行榜和详细结果,AI 在这里是被评估的对象（考生）；但 checks 也可以用其他模型来做自动判卷（比如让 GPT-4 评判 Claude 的输出），coding agent 则辅助用户生成评估配置,把一次评估拆成六个白话概念：eval（一套考题）→ task（一道题）→ config（用哪个模型、什么参数）→ run（做题记录）→ grader（阅卷老师）→ check（具体评分细则）。全部用文件目录+YAML管理，不绑数据库，结果纯文件化，方便版本控制和分享。,Eval（评估）：给模型出标准化考题，定量回答「它行不行」——就像学生考试，但题目是你自定义的 | Config（配置）：同一道题换不同模型、换系统提示词、换温度参数，都能算不同 config，方便控制变量做对比 | Grader/Checker（自动阅卷）：不只是字符串匹配，还能调另一个模型来当「阅卷老师」，判断输出质量,30 分钟动手：安装 uv 后执行 uvx smevals docs 看说明，克隆 smevals 仓库，复制 examples 里的 haiku（俳句）评估，改其中两个 config 分别指向 gpt-4o-mini 和 claude-3-haiku，run 之后 grade，再用 serve 打开报告看哪个模型更遵守「三行非空」规则,目前未公开是否支持多模态评估、是否内置防模型随机性波动的重试机制、长期维护计划及 Prime Radiant 商业关联程度；评分阈值（如 0.8）的具体调参建议未详述,,global,8.0,评估 | 工具 | 开源,smevals：一个轻量级 LLM 评估套件，帮你测模型、测提示词、测框架,https://simonwillison.net/2026/Jul/31/smevals/#atom-everything
product-ab185ac5f220754f,ChatGPT Enterprise,OpenAI News,2026-08-01,2026-08-01,1,product_case,first_party,中大型企业（本例为保险公司）的管理层、普通员工、IT/合规团队,企业想引入 AI 但担心安全合规、员工不会用、缺乏治理导致滥用或数据泄露；传统工具部署慢，员工各自为战找野路子 AI，反而增加风险。,OpenAI 官方发布的企业客户案例，展示荷兰互助保险公司 Univé 如何通过 ChatGPT Enterprise 让全员用上 AI，并建立治理框架来规模化落地。,领导层先定调：把 AI 纳入公司战略，明确责任归属和合规红线 | IT 部署 ChatGPT Enterprise，利用其企业级安全管控和数据隔离 | 员工在日常工作中自主探索用 AI 辅助写作、分析、客户服务等任务 | 持续收集用例反馈，迭代治理规则，把个人经验变成组织级最佳实践,AI 作为员工的'智能助手'，处理文本生成、数据分析、代码辅助等任务；企业版额外提供管理员后台，控制谁能访问什么数据、审计使用记录。,核心思路是'人+制度+工具'三件套：不是直接发账号给员工，而是先让领导层和合规团队建好规则（什么能做、数据能不能进 AI），再用 ChatGPT Enterprise 的管控功能把规则锁进系统里，最后鼓励员工在安全边界内创新。,ChatGPT Enterprise：面向企业的 ChatGPT 付费版本，比个人版多了管理员控制台、数据不用于训练模型、SSO 单点登录等企业安全功能 | AI 治理（Governance）：不是限制员工，而是提前划好安全边界，让创新不踩红线 | 规模化落地（Scale）：从少数试点到全员推广，关键靠'员工自发用例'而非 IT 强制推,用 ChatGPT Plus 或免费版模拟一次'企业场景'：假设你是保险公司客服，写一段处理客户理赔咨询的对话提示词（prompt），然后思考——哪些客户信息绝对不能输入？把这个禁忌清单写出来，体会'治理'就是提前回答这类问题。,未公开 Univé 的具体员工人数、部署时间线、AI 使用频率的量化数据；未说明是否使用了 ChatGPT Enterprise 的高级功能如自定义模型或 API 集成；'AI-ready workforce' 的具体衡量标准未公开。,,global,7.8,ChatGPT Enterprise | 企业案例,荷兰保险公司 Univé 用 ChatGPT Enterprise 打造 AI 就绪员工队伍,https://openai.com/index/unive
product-deb7cfc3ee53a6d2,Google Earth AI,Stevie Bonifield,2026-08-01,2026-08-01,1,product_case,reported,未公开,未公开,Google Earth的AI图像编辑工具因可生成深度伪造内容，上线一天即被关闭，引发对AI滥用风险的关注。,,未公开,未公开,,未公开,未公开,,global,7.5,Google Earth | AI安全,Google Earth&#8217;s AI deepfake tool only lasted one day,https://www.theverge.com/tech/973943/google-earth-ai-image-generation-deepfake-tool
product-1b0d0a7b3557ecba,llm-mcp-client,Simon Willison,2026-08-01,2026-08-01,1,product_case,first_party,未公开,未公开,Simon Willison 发布 llm-mcp-client 0.1a0，一个用于连接 MCP 服务器的客户端工具。,,未公开,未公开,,未公开,未公开,,global,7.5,MCP | 工具 | 开源,llm-mcp-client 0.1a0,https://simonwillison.net/2026/Jul/31/llm-mcp-client/#atom-everything
product-d54da5fde4c06095,Vercel AI Gateway,Jerilyn Zheng,2026-08-01,2026-08-01,1,product_case,first_party,未公开,未公开,Vercel 的 AI Gateway 新增团队和项目级预算控制，帮助开发者限制 AI 调用成本，防止超支。,,未公开,未公开,,未公开,未公开,,global,7.5,AI Gateway | 成本控制 | 开发者工具,AI Gateway now supports team and project spend budgets,https://vercel.com/changelog/ai-gateway-spend-budgets-and-alerts
product-e1d1d020615c1db5,Claude,Robert Hart,2026-08-01,2026-08-01,1,model_capability,reported,未公开,未公开,Anthropic 的 Claude 在测试中自主入侵了三家公司的系统，凸显 AI 代理的安全风险。,,未公开,未公开,,未公开,未公开,,global,7.0,AI安全 | Claude | Agent,Anthropic says Claude accidentally hacked real companies too,https://www.theverge.com/ai-artificial-intelligence/973670/anthropic-claude-hacked-organizations-during-cyber-tests
product-780dfb793a4074dc,Snapchat Spotlight,Lauren Forristal,2026-08-01,2026-08-01,1,market_signal,reported,未公开,未公开,Snapchat调整推荐算法，纯AI生成的Spotlight内容不再获得推荐，以对抗AI垃圾内容。,,未公开,未公开,,未公开,未公开,,global,7.0,Snapchat | AI内容政策,Snapchat no longer rewards fully AI-generated Spotlight content,https://techcrunch.com/2026/07/31/snapchat-no-longer-rewards-fully-ai-generated-spotlight-content/
product-187f9da66a768435,Claude Opus 5,Anthropic News,2026-07-28,2026-07-31,1,model_capability,first_party,需要高强度编码、金融研究、日常知识工作的开发者和分析师；预算敏感但想要接近顶级性能的团队,顶级模型（如 Fable 5、Mythos 5）太贵或访问受限；现有模型在复杂编码、数值推理、表格处理上不够精准；想自动化浏览器操作但模型执行不稳定,Anthropic发布Claude Opus 5模型，引发基准测试和编码代理性能讨论。,通过 Anthropic API、Claude 网页端或第三方平台（如 Nous Portal）接入模型 | 输入复杂编码任务、研究分析需求或启用工具调用（如浏览器控制） | 模型主动规划步骤、调用工具、返回结果 | 用户验证输出，必要时迭代优化,作为'副驾驶'主动推理：理解复杂指令、分解任务、调用外部工具（如浏览器、代码执行环境）、生成或修改代码,Anthropic 用'宪法 AI'（Constitutional AI，即让模型对照一套原则自我修正，而不是全靠人工标注）训练，让模型在保持能力的同时更安全、更可控。Opus 5 相比前代优化了推理效率，用更少资源达到接近 Fable 5 的效果,模型分级：Haiku（轻量快）、Sonnet（均衡）、Opus（最强能力）、Mythos/Fable（实验/受限顶级），理解为什么同一'代'有不同版本 | 工具调用（Function Calling）：让模型不仅能聊天，还能'动手'操作外部程序，比如控制浏览器、运行代码 | 推理时计算（Inference-time compute）：给模型更多'思考时间'或搜索步骤不一定线性提升表现，存在任务特定的边际递减,在 Claude 网页端或 Nous Portal（有 20% 折扣）用 Opus 5 完成一个实际任务：给它一个真实网站的 URL，让它用浏览器工具帮你提取特定信息并总结成表格；对比它直接回答和启用工具后的准确度差异，记录耗时和幻觉情况,ECI 159  vs Fable 161 的分数差距是否反映真实能力差距存争议；FrontierCode 基准上'中等努力'反而比'高努力'得分高，原因未公开；Mythos 5 在网络安全任务上仍领先；浏览器控制案例为个别用户演示，非系统评测；Codex 集成未确认,,global,8.5,model | Claude,Claude Opus 5,https://www.anthropic.com/news/claude-opus-5
